Station Id,Today Gen Power,Total Gen Power,Created At
106907,0,0,2021-03-18
151873,11.84,94.74,2021-03-18
75608,11.24,346.36,2021-03-18
108029,0,0,2021-03-18
84328,0,0,2021-03-19
84351,0,0,2021-03-19
151873,14.69,109.43,2021-03-19
90672,0,0,2021-03-19
106907,0,0,2021-03-19
132948,0,0,2021-03-19
75608,9.36,342.51,2021-03-19
82647,24.56,1099.53,2021-03-19
108029,0,0,2021-03-19
84351,0,0,2021-03-20
106907,0,0,2021-03-20
90672,0,0,2021-03-20
84328,0,0,2021-03-20
151873,15.41,124.84,2021-03-20
132948,0,0,2021-03-20
108029,0,0,2021-03-20
82647,34.61,1094.66,2021-03-20
75608,11.77,341.05,2021-03-20
84351,0,0,2021-03-21
90672,0,0,2021-03-21
82647,26.65,1086.29,2021-03-21
106907,0,0,2021-03-21
132948,0,0,2021-03-21
108029,0,0,2021-03-21
84328,0,0,2021-03-21
75608,12.98,344.34,2021-03-21
151873,14.2,139.04,2021-03-21
106907,0,0,2021-03-22
84351,0,0,2021-03-22
84328,0,0,2021-03-22
132948,0,0,2021-03-22
108029,0,0,2021-03-22
82647,37.54,1092.62,2021-03-22
90672,0,0,2021-03-22
151873,2.9,141.94,2021-03-22
75608,12.82,347.27,2021-03-22
151873,5.8,147.74,2021-03-23
84351,0,0,2021-03-23
82647,32.76,1093.83,2021-03-23
75608,11.19,346.5,2021-03-23
108029,0,0,2021-03-23
106907,0,0,2021-03-23
132948,0,0,2021-03-23
90672,0,0,2021-03-23
84328,0,0,2021-03-23
151873,4.12,151.86,2021-03-24
106907,0,0,2021-03-24
132948,0,0,2021-03-24
90672,0,0,2021-03-24
84351,0,0,2021-03-24
84328,0,0,2021-03-24
75608,13.58,349.31,2021-03-24
108029,0,0,2021-03-24
82647,32.35,1089.93,2021-03-24
84328,0,0,2021-03-25
106907,0,0,2021-03-25
151873,13.51,165.37,2021-03-25
75608,12.81,349.73,2021-03-25
108029,0,0,2021-03-25
90672,0,0,2021-03-25
84351,0,0,2021-03-25
132948,0,0,2021-03-25
82647,39.3,1094.05,2021-03-25
82647,36.97,1091.66,2021-03-26
84328,0,0,2021-03-26
106907,0,0,2021-03-26
151873,17.73,183.1,2021-03-26
90672,0,0,2021-03-26
84351,0,0,2021-03-26
75608,13.39,349.9,2021-03-26
108029,0,0,2021-03-26
132948,0,0,2021-03-26
84328,0,0,2021-03-27
75608,13.26,350.08,2021-03-27
151873,16.12,199.22,2021-03-27
84351,0,0,2021-03-27
90672,0,0,2021-03-27
108029,0,0,2021-03-27
132948,0,0,2021-03-27
106907,0,0,2021-03-27
82647,39.88,1091.85,2021-03-27
132948,0,0,2021-03-28
106907,0,0,2021-03-28
90672,0,0,2021-03-28
82647,35.74,1085.84,2021-03-28
108029,0,0,2021-03-28
151873,15.5,214.72,2021-03-28
84351,0,0,2021-03-28
84328,0,0,2021-03-28
75608,11.18,347.23,2021-03-28
151873,0,214.72,2021-03-29
84351,0,0,2021-03-29
106907,0,0,2021-03-29
84328,0,0,2021-03-29
132948,0,0,2021-03-29
90672,0,0,2021-03-29
82647,33.68,1077.45,2021-03-29
108029,0,0,2021-03-29
75608,11.62,347.4,2021-03-29
84328,0,0,2021-03-30
84351,0,0,2021-03-30
90672,0,0,2021-03-30
132948,0,0,2021-03-30
151873,14.36,229.08,2021-03-30
106907,0,0,2021-03-30
108029,0,0,2021-03-30
82647,37.12,1073.42,2021-03-30
75608,12.59,347.22,2021-03-30
84328,0,0,2021-03-31
132948,0,0,2021-03-31
90672,0,0,2021-03-31
84351,0,0,2021-03-31
82647,40.82,1073.49,2021-03-31
75608,14.64,352.12,2021-03-31
151873,18.67,247.75,2021-03-31
106907,0,0,2021-03-31
108029,0,0,2021-03-31
132948,0,0,2021-04-01
84351,0,0,2021-04-01
90672,0,0,2021-04-01
151873,17.36,265.11,2021-04-01
106907,0,0,2021-04-01
82647,44.18,1091.08,2021-04-01
84328,0,0,2021-04-01
108029,0,0,2021-04-01
75608,15.53,354.24,2021-04-01
106907,0,0,2021-04-02
84328,0,0,2021-04-02
132948,0,0,2021-04-02
90672,0,0,2021-04-02
75608,14.4,355.88,2021-04-02
84351,0,0,2021-04-02
82647,41.82,1087.89,2021-04-02
151873,4.27,269.38,2021-04-02
108029,0,0,2021-04-02
132948,0,0,2021-04-03
90672,0,0,2021-04-03
108029,0,0,2021-04-03
84351,0,0,2021-04-03
84328,0,0,2021-04-03
151873,1.72,271.1,2021-04-03
82647,38.75,1082.54,2021-04-03
75608,12.98,356.31,2021-04-03
106907,0,0,2021-04-03
84351,0,0,2021-04-04
132948,0,0,2021-04-04
82647,42.04,1081.63,2021-04-04
75608,13.44,356.53,2021-04-04
106907,0,0,2021-04-04
90672,0,0,2021-04-04
84328,0,0,2021-04-04
151873,0,271.1,2021-04-04
108029,0,0,2021-04-04
84351,0,0,2021-04-05
84328,0,0,2021-04-05
132948,0,0,2021-04-05
90672,0,0,2021-04-05
82647,37.67,1076.02,2021-04-05
106907,0,0,2021-04-05
108029,0,0,2021-04-05
75608,12.6,355.72,2021-04-05
151873,1.69,272.79,2021-04-05
132948,0,0,2021-04-06
90672,0,0,2021-04-06
84328,0,0,2021-04-06
84351,0,0,2021-04-06
106907,0,0,2021-04-06
151873,12.23,285.02,2021-04-06
82647,36.13,1072.6,2021-04-06
108029,0,0,2021-04-06
75608,12.14,355.47,2021-04-06
84351,0,0,2021-04-07
132948,0,0,2021-04-07
90672,0,0,2021-04-07
84328,0,0,2021-04-07
82647,31.55,1066.65,2021-04-07
151873,3.93,288.95,2021-04-07
75608,10.64,354.08,2021-04-07
108029,0,0,2021-04-07
106907,0,0,2021-04-07
106907,0,0,2021-04-08
84328,0,0,2021-04-08
84351,0,0,2021-04-08
75608,10.04,356.35,2021-04-08
90672,0,0,2021-04-08
82647,32.86,1063.12,2021-04-08
151873,14.33,303.28,2021-04-08
132948,0,0,2021-04-08
108029,0,0,2021-04-08
84351,0,0,2021-04-09
84328,0,0,2021-04-09
132948,0,0,2021-04-09
106907,0,0,2021-04-09
82647,17.73,1043.57,2021-04-09
108029,0,0,2021-04-09
75608,6.97,352.24,2021-04-09
151873,17.23,305.88,2021-04-09
90672,0,0,2021-04-09
84351,0,0,2021-04-10
106907,0,0,2021-04-10
132948,0,0,2021-04-10
84328,0,0,2021-04-10
108029,0,0,2021-04-10
75608,12.89,353.72,2021-04-10
90672,0,0,2021-04-10
151873,4.27,309.01,2021-04-10
82647,41.91,1052.67,2021-04-10
84328,0,0,2021-04-11
84351,0,0,2021-04-11
90672,0,0,2021-04-11
82647,42.3,1075.31,2021-04-11
132948,0,0,2021-04-11
75608,12.15,358.73,2021-04-11
106907,0,0,2021-04-11
151873,0,300.63,2021-04-11
108029,0,0,2021-04-11
106907,0,0,2021-04-12
84351,0,0,2021-04-12
90672,0,0,2021-04-12
75608,12.26,359,2021-04-12
108029,0,0,2021-04-12
132948,0,0,2021-04-12
84328,0,0,2021-04-12
82647,38.66,1084.51,2021-04-12
151873,0,283.77,2021-04-12
82647,44.15,1086.8,2021-04-13
90672,0,0,2021-04-13
84351,0,0,2021-04-13
106907,0,0,2021-04-13
84328,0,0,2021-04-13
132948,0,0,2021-04-13
75608,11.51,356.44,2021-04-13
151873,0,283.39,2021-04-13
108029,0,0,2021-04-13
84328,0,0,2021-04-14
106907,0,0,2021-04-14
75608,11.96,354.59,2021-04-14
84351,0,0,2021-04-14
90672,0,0,2021-04-14
151873,0,269.49,2021-04-14
132948,0,0,2021-04-14
108029,0,0,2021-04-14
82647,30.59,1077.09,2021-04-14
106907,0,0,2021-04-15
84328,0,0,2021-04-15
151873,0,255.76,2021-04-15
108029,0,0,2021-04-15
82647,34.11,1096.71,2021-04-15
90672,0,0,2021-04-15
132948,0,0,2021-04-15
84351,0,0,2021-04-15
75608,9.81,351.75,2021-04-15
84328,0,0,2021-04-16
132948,0,0,2021-04-16
108029,0,0,2021-04-16
90672,0,0,2021-04-16
84351,0,0,2021-04-16
106907,0,0,2021-04-16
151873,0,241.88,2021-04-16
75608,13.72,365.47,2021-04-16
82647,42.17,1100.99,2021-04-16
84351,0,0,2021-04-17
90672,0,0,2021-04-17
151873,0,230.04,2021-04-17
82647,33.19,1097.88,2021-04-17
75608,11.31,365.54,2021-04-17
132948,0,0,2021-04-17
106907,0,0,2021-04-17
84328,0,0,2021-04-17
108029,0,0,2021-04-17
151873,0,215.35,2021-04-18
84328,0,0,2021-04-18
132948,0,0,2021-04-18
84351,0,0,2021-04-18
106907,0,0,2021-04-18
90672,0,0,2021-04-18
108029,0,0,2021-04-18
82647,43.71,1117.03,2021-04-18
75608,16.15,372.33,2021-04-18
84328,0,0,2021-04-19
106907,0,0,2021-04-19
90672,0,0,2021-04-19
132948,0,0,2021-04-19
84351,0,0,2021-04-19
75608,15.77,376.33,2021-04-19
151873,0,199.94,2021-04-19
